country,latitude,longitude,name
AT,47.516231,14.550072,Austria
AU,-25.274398,133.775136,Australia
AW,12.52111,-69.968338,Aruba
AZ,40.143105,47.576927,Azerbaijan
BA,43.915886,17.679076,Bosnia and Herzegovina
BV,-54.423199,3.413194,Bouvet Island
BW,-22.328474,24.684866,Botswana
BY,53.709807,27.953389,Belarus
BZ,17.189877,-88.49765,Belize
CA,56.130366,-106.346771,Canada
CC,-12.164165,96.870956,Cocos [Keeling] Islands
CD,-4.038333,21.758664,Congo [DRC]
CF,6.611111,20.939444,Central African Republic
CG,-0.228021,15.827659,Congo [Republic]
CH,46.818188,8.227512,Switzerland
CI,7.539989,-5.54708,Cote d'Ivoire
CK,-21.236736,-159.777671,Cook Islands
CL,-35.675147,-71.542969,Chile
EH,24.215527,-12.885834,Western Sahara
ER,15.179384,39.782334,Eritrea
ES,40.463667,-3.74922,Spain
ET,9.145,40.489673,Ethiopia
FI,61.92411,25.748151,Finland
FJ,-16.578193,179.414413,Fiji
FK,-51.796253,-59.523613,Falkland Islands [Islas Malvinas]
FM,7.425554,150.550812,Micronesia
FO,61.892635,-6.911806,Faroe Islands
FR,46.227638,2.213749,France
GA,-0.803689,11.609444,Gabon
GB,55.378051,-3.435973,United Kingdom
GD,12.262776,-61.604171,Grenada
GE,42.315407,43.356892,Georgia
GF,3.933889,-53.125782,French Guiana
GG,49.465691,-2.585278,Guernsey
GH,7.946527,-1.023194,Ghana
GI,36.137741,-5.345374,Gibraltar
GL,71.706936,-42.604303,Greenland
GM,13.443182,-15.310139,Gambia
GN,9.945587,-9.696645,Guinea
GP,16.995971,-62.067641,Guadeloupe
IN,20.593684,78.96288,India
IO,-6.343194,71.876519,British Indian Ocean Territory
IQ,33.223191,43.679291,Iraq
IR,32.427908,53.688046,Iran
IS,64.963051,-19.020835,Iceland
IT,41.87194,12.56738,Italy
JE,49.214439,-2.13125,Jersey
JM,18.109581,-77.297508,Jamaica
JO,30.585164,36.238414,Jordan
LV,56.879635,24.603189,Latvia
LY,26.3351,17.228331,Libya
MA,31.791702,-7.09262,Morocco
MC,43.750298,7.412841,Monaco
MD,47.411631,28.369885,Moldova
ME,42.708678,19.37439,Montenegro
MG,-18.766947,46.869107,Madagascar
MH,7.131474,171.184478,Marshall Islands
MK,41.608635,21.745275,Macedonia [FYROM]
ML,17.570692,-3.996166,Mali
MM,21.913965,95.956223,Myanmar [Burma]
MN,46.862496,103.846656,Mongolia
MO,22.198745,113.543873,Macau
MP,17.33083,145.38469,Northern Mariana Islands
MQ,14.641528,-61.024174,Martinique
MR,21.00789,-10.940835,Mauritania
MS,16.742498,-62.187366,Montserrat
MT,35.937496,14.375416,Malta
MU,-20.348404,57.552152,Mauritius
MV,3.202778,73.22068,Maldives
MW,-13.254308,34.301525,Malawi
MX,23.634501,-102.552784,Mexico
MY,4.210484,101.975766,Malaysia
MZ,-18.665695,35.529562,Mozambique
NA,-22.95764,18.49041,Namibia
SA,23.885942,45.079162,Saudi Arabia
SB,-9.64571,160.156194,Solomon Islands
SC,-4.679574,55.491977,Seychelles
SD,12.862807,30.217636,Sudan
SE,60.128161,18.643501,Sweden
SG,1.352083,103.819836,Singapore
SH,-24.143474,-10.030696,Saint Helena
SI,46.151241,14.995463,Slovenia
SJ,77.553604,23.670272,Svalbard and Jan Mayen
SK,48.669026,19.699024,Slovakia
SL,8.460555,-11.779889,Sierra Leone
SM,43.94236,12.457777,San Marino
SN,14.497401,-14.452362,Senegal
SO,5.152149,46.199616,Somalia
SR,3.919305,-56.027783,Suriname
ST,0.18636,6.613081,São Tomé and Príncipe
SV,13.794185,-88.89653,El Salvador
SY,34.802075,38.996815,Syria
SZ,-26.522503,31.465866,Swaziland
TC,21.694025,-71.797928,Turks and Caicos Islands
TD,15.454166,18.732207,Chad
TF,-49.280366,69.348557,French Southern Territories
TG,8.619543,0.824782,Togo
TH,15.870032,100.992541,Thailand
TJ,38.861034,71.276093,Tajikistan
TK,-8.967363,-171.855881,Tokelau
TL,-8.874217,125.727539,Timor-Leste
TM,38.969719,59.556278,Turkmenistan
TN,33.886917,9.537499,Tunisia
TO,-21.178986,-175.198242,Tonga
TR,38.963745,35.243322,Turkey
TT,10.691803,-61.222503,Trinidad and Tobago
TV,-7.109535,177.64933,Tuvalu
TW,23.69781,120.960515,Taiwan
TZ,-6.369028,34.888822,Tanzania
UA,48.379433,31.16558,Ukraine
UG,1.373333,32.290275,Uganda
UM,,,U.S. Minor Outlying Islands
US,37.09024,-95.712891,United States
YT,-12.8275,45.166244,Mayotte
ZA,-30.559482,22.937506,South Africa
ZM,-13.133897,27.849332,Zambia
ZW,-19.015438,29.154857,Zimbabwe